RecordID,Country,Demographics Question,Demographics Questions code,Demographics Response,Question,Question-cod,Survey Year,year,Value
226,Congo,Marital status,1,Married or living together,... if she neglects the children,4,01/01/2011,2011,28.7
226,Congo,Marital status,1,Never married,... if she neglects the children,4,01/01/2011,2011,33
226,Congo,Marital status,1,"Widowed, divorced, separated",... if she neglects the children,4,01/01/2011,2011,35.8
296,Congo,Marital status,1,Married or living together,... if she refuses to have sex with him,6,01/01/2011,2011,11.7
296,Congo,Marital status,1,Never married,... if she refuses to have sex with him,6,01/01/2011,2011,14.8
296,Congo,Marital status,1,"Widowed, divorced, separated",... if she refuses to have sex with him,6,01/01/2011,2011,12.9
366,Congo,Residence,5,Rural,... for at least one specific reason,2,01/01/2011,2011,43.1
366,Congo,Residence,5,Urban,... for at least one specific reason,2,01/01/2011,2011,42.7
86,Congo,Residence,5,Rural,... if she argues with him,3,01/01/2011,2011,
86,Congo,Residence,5,Urban,... if she argues with him,3,01/01/2011,2011,
156,Congo,Residence,5,Rural,... if she goes out without telling him,5,01/01/2011,2011,25.1
156,Congo,Residence,5,Urban,... if she goes out without telling him,5,01/01/2011,2011,21
226,Congo,Residence,5,Rural,... if she neglects the children,4,01/01/2011,2011,29.8
226,Congo,Residence,5,Urban,... if she neglects the children,4,01/01/2011,2011,31.7
296,Congo,Residence,5,Rural,... if she refuses to have sex with him,6,01/01/2011,2011,16.8
296,Congo,Residence,5,Urban,... if she refuses to have sex with him,6,01/01/2011,2011,11.6
17,Congo Democratic Republic,Education,5,Higher,... if she burns the food,1,01/01/2013,2013,3.3
17,Congo Democratic Republic,Age,4,35-49,... if she burns the food,1,01/01/2013,2013,10.7
17,Congo Democratic Republic,Residence,5,Urban,... if she burns the food,1,01/01/2013,2013,11.7
17,Congo Democratic Republic,Employment,3,Employed for kind,... if she burns the food,1,01/01/2013,2013,12.3
17,Congo Democratic Republic,Marital status,1,Married or living together,... if she burns the food,1,01/01/2013,2013,12.3
17,Congo Democratic Republic,Age,4,25-34,... if she burns the food,1,01/01/2013,2013,13.2
17,Congo Democratic Republic,Employment,3,Employed for cash,... if she burns the food,1,01/01/2013,2013,14.2
17,Congo Democratic Republic,Marital status,1,"Widowed, divorced, separated",... if she burns the food,1,01/01/2013,2013,14.8
17,Congo Democratic Republic,Education,5,No education,... if she burns the food,1,01/01/2013,2013,15.6
17,Congo Democratic Republic,Education,5,Secondary,... if she burns the food,1,01/01/2013,2013,16
17,Congo Democratic Republic,Education,5,Primary,... if she burns the food,1,01/01/2013,2013,17.2
17,Congo Democratic Republic,Residence,5,Rural,... if she burns the food,1,01/01/2013,2013,17.2
17,Congo Democratic Republic,Marital status,1,Never married,... if she burns the food,1,01/01/2013,2013,18.8
17,Congo Democratic Republic,Age,4,15-24,... if she burns the food,1,01/01/2013,2013,19.8
17,Congo Democratic Republic,Employment,3,Unemployed,... if she burns the food,1,01/01/2013,2013,19.9
367,Congo Democratic Republic,Age,4,15-24,... for at least one specific reason,2,01/01/2013,2013,67.6
367,Congo Democratic Republic,Age,4,25-34,... for at least one specific reason,2,01/01/2013,2013,60.8
367,Congo Democratic Republic,Age,4,35-49,... for at least one specific reason,2,01/01/2013,2013,52.2
87,Congo Democratic Republic,Age,4,15-24,... if she argues with him,3,01/01/2013,2013,47.2
87,Congo Democratic Republic,Age,4,25-34,... if she argues with him,3,01/01/2013,2013,42.6
87,Congo Democratic Republic,Age,4,35-49,... if she argues with him,3,01/01/2013,2013,35.1
157,Congo Democratic Republic,Age,4,15-24,... if she goes out without telling him,5,01/01/2013,2013,38.1
157,Congo Democratic Republic,Age,4,25-34,... if she goes out without telling him,5,01/01/2013,2013,32.6
157,Congo Democratic Republic,Age,4,35-49,... if she goes out without telling him,5,01/01/2013,2013,25.1
227,Congo Democratic Republic,Age,4,15-24,... if she neglects the children,4,01/01/2013,2013,45.4
227,Congo Democratic Republic,Age,4,25-34,... if she neglects the children,4,01/01/2013,2013,40.7
227,Congo Democratic Republic,Age,4,35-49,... if she neglects the children,4,01/01/2013,2013,32.5
297,Congo Democratic Republic,Age,4,15-24,... if she refuses to have sex with him,6,01/01/2013,2013,26.6
297,Congo Democratic Republic,Age,4,25-34,... if she refuses to have sex with him,6,01/01/2013,2013,21.4
297,Congo Democratic Republic,Age,4,35-49,... if she refuses to have sex with him,6,01/01/2013,2013,20.8
367,Congo Democratic Republic,Education,5,Higher,... for at least one specific reason,2,01/01/2013,2013,41.7
367,Congo Democratic Republic,Education,5,No education,... for at least one specific reason,2,01/01/2013,2013,63.9
367,Congo Democratic Republic,Education,5,Primary,... for at least one specific reason,2,01/01/2013,2013,64.9
367,Congo Democratic Republic,Education,5,Secondary,... for at least one specific reason,2,01/01/2013,2013,62.1
87,Congo Democratic Republic,Education,5,Higher,... if she argues with him,3,01/01/2013,2013,25.3
87,Congo Democratic Republic,Education,5,No education,... if she argues with him,3,01/01/2013,2013,42
87,Congo Democratic Republic,Education,5,Primary,... if she argues with him,3,01/01/2013,2013,46.3
87,Congo Democratic Republic,Education,5,Secondary,... if she argues with him,3,01/01/2013,2013,43.1
157,Congo Democratic Republic,Education,5,Higher,... if she goes out without telling him,5,01/01/2013,2013,16.6
157,Congo Democratic Republic,Education,5,No education,... if she goes out without telling him,5,01/01/2013,2013,32.9
157,Congo Democratic Republic,Education,5,Primary,... if she goes out without telling him,5,01/01/2013,2013,37.1
157,Congo Democratic Republic,Education,5,Secondary,... if she goes out without telling him,5,01/01/2013,2013,33.2
227,Congo Democratic Republic,Education,5,Higher,... if she neglects the children,4,01/01/2013,2013,23.7
227,Congo Democratic Republic,Education,5,No education,... if she neglects the children,4,01/01/2013,2013,42.5
227,Congo Democratic Republic,Education,5,Primary,... if she neglects the children,4,01/01/2013,2013,41.3
227,Congo Democratic Republic,Education,5,Secondary,... if she neglects the children,4,01/01/2013,2013,41.8
297,Congo Democratic Republic,Education,5,Higher,... if she refuses to have sex with him,6,01/01/2013,2013,6.7
297,Congo Democratic Republic,Education,5,No education,... if she refuses to have sex with him,6,01/01/2013,2013,30.8
297,Congo Democratic Republic,Education,5,Primary,... if she refuses to have sex with him,6,01/01/2013,2013,29.7
297,Congo Democratic Republic,Education,5,Secondary,... if she refuses to have sex with him,6,01/01/2013,2013,23
367,Congo Democratic Republic,Employment,3,Employed for cash,... for at least one specific reason,2,01/01/2013,2013,59.6
367,Congo Democratic Republic,Employment,3,Employed for kind,... for at least one specific reason,2,01/01/2013,2013,57.6
367,Congo Democratic Republic,Employment,3,Unemployed,... for at least one specific reason,2,01/01/2013,2013,67.8
87,Congo Democratic Republic,Employment,3,Employed for cash,... if she argues with him,3,01/01/2013,2013,42
87,Congo Democratic Republic,Employment,3,Employed for kind,... if she argues with him,3,01/01/2013,2013,36.1
87,Congo Democratic Republic,Employment,3,Unemployed,... if she argues with him,3,01/01/2013,2013,45.6
157,Congo Democratic Republic,Employment,3,Employed for cash,... if she goes out without telling him,5,01/01/2013,2013,31.6
157,Congo Democratic Republic,Employment,3,Employed for kind,... if she goes out without telling him,5,01/01/2013,2013,30
157,Congo Democratic Republic,Employment,3,Unemployed,... if she goes out without telling him,5,01/01/2013,2013,37.4
227,Congo Democratic Republic,Employment,3,Employed for cash,... if she neglects the children,4,01/01/2013,2013,38.9
227,Congo Democratic Republic,Employment,3,Employed for kind,... if she neglects the children,4,01/01/2013,2013,36.5
227,Congo Democratic Republic,Employment,3,Unemployed,... if she neglects the children,4,01/01/2013,2013,46.3
297,Congo Democratic Republic,Employment,3,Employed for cash,... if she refuses to have sex with him,6,01/01/2013,2013,22.9
297,Congo Democratic Republic,Employment,3,Employed for kind,... if she refuses to have sex with him,6,01/01/2013,2013,20.1
297,Congo Democratic Republic,Employment,3,Unemployed,... if she refuses to have sex with him,6,01/01/2013,2013,26.4
367,Congo Democratic Republic,Marital status,1,Married or living together,... for at least one specific reason,2,01/01/2013,2013,56.5
367,Congo Democratic Republic,Marital status,1,Never married,... for at least one specific reason,2,01/01/2013,2013,67
367,Congo Democratic Republic,Marital status,1,"Widowed, divorced, separated",... for at least one specific reason,2,01/01/2013,2013,59.9
87,Congo Democratic Republic,Marital status,1,Married or living together,... if she argues with him,3,01/01/2013,2013,38.8
87,Congo Democratic Republic,Marital status,1,Never married,... if she argues with him,3,01/01/2013,2013,46.3
87,Congo Democratic Republic,Marital status,1,"Widowed, divorced, separated",... if she argues with him,3,01/01/2013,2013,46
157,Congo Democratic Republic,Marital status,1,Married or living together,... if she goes out without telling him,5,01/01/2013,2013,29.5
157,Congo Democratic Republic,Marital status,1,Never married,... if she goes out without telling him,5,01/01/2013,2013,36.9
157,Congo Democratic Republic,Marital status,1,"Widowed, divorced, separated",... if she goes out without telling him,5,01/01/2013,2013,29.3
227,Congo Democratic Republic,Marital status,1,Married or living together,... if she neglects the children,4,01/01/2013,2013,36.8
227,Congo Democratic Republic,Marital status,1,Never married,... if she neglects the children,4,01/01/2013,2013,44.5
227,Congo Democratic Republic,Marital status,1,"Widowed, divorced, separated",... if she neglects the children,4,01/01/2013,2013,40.4
297,Congo Democratic Republic,Marital status,1,Married or living together,... if she refuses to have sex with him,6,01/01/2013,2013,21.4
297,Congo Democratic Republic,Marital status,1,Never married,... if she refuses to have sex with him,6,01/01/2013,2013,25.6
297,Congo Democratic Republic,Marital status,1,"Widowed, divorced, separated",... if she refuses to have sex with him,6,01/01/2013,2013,26.6
367,Congo Democratic Republic,Residence,5,Rural,... for at least one specific reason,2,01/01/2013,2013,61.4
367,Congo Democratic Republic,Residence,5,Urban,... for at least one specific reason,2,01/01/2013,2013,60.4
87,Congo Democratic Republic,Residence,5,Rural,... if she argues with him,3,01/01/2013,2013,44.2
87,Congo Democratic Republic,Residence,5,Urban,... if she argues with him,3,01/01/2013,2013,38.9
157,Congo Democratic Republic,Residence,5,Rural,... if she goes out without telling him,5,01/01/2013,2013,34.7
157,Congo Democratic Republic,Residence,5,Urban,... if she goes out without telling him,5,01/01/2013,2013,29
227,Congo Democratic Republic,Residence,5,Rural,... if she neglects the children,4,01/01/2013,2013,40.3
227,Congo Democratic Republic,Residence,5,Urban,... if she neglects the children,4,01/01/2013,2013,39.8
297,Congo Democratic Republic,Residence,5,Rural,... if she refuses to have sex with him,6,01/01/2013,2013,27.7
297,Congo Democratic Republic,Residence,5,Urban,... if she refuses to have sex with him,6,01/01/2013,2013,16.1
18,Cote d'Ivoire,Education,5,Higher,... if she burns the food,1,01/01/2011,2011,5
18,Cote d'Ivoire,Marital status,1,"Widowed, divorced, separated",... if she burns the food,1,01/01/2011,2011,7.3
18,Cote d'Ivoire,Age,4,35-49,... if she burns the food,1,01/01/2011,2011,7.7
18,Cote d'Ivoire,Marital status,1,Married or living together,... if she burns the food,1,01/01/2011,2011,9.7
18,Cote d'Ivoire,Age,4,25-34,... if she burns the food,1,01/01/2011,2011,11.2
18,Cote d'Ivoire,Employment,3,Employed for cash,... if she burns the food,1,01/01/2011,2011,11.5
18,Cote d'Ivoire,Education,5,Secondary,... if she burns the food,1,01/01/2011,2011,11.8
18,Cote d'Ivoire,Residence,5,Rural,... if she burns the food,1,01/01/2011,2011,12.3
18,Cote d'Ivoire,Residence,5,Urban,... if she burns the food,1,01/01/2011,2011,12.8
18,Cote d'Ivoire,Education,5,No education,... if she burns the food,1,01/01/2011,2011,13.3
18,Cote d'Ivoire,Employment,3,Employed for kind,... if she burns the food,1,01/01/2011,2011,13.9
18,Cote d'Ivoire,Education,5,Primary,... if she burns the food,1,01/01/2011,2011,14.5
18,Cote d'Ivoire,Marital status,1,Never married,... if she burns the food,1,01/01/2011,2011,16.1
18,Cote d'Ivoire,Employment,3,Unemployed,... if she burns the food,1,01/01/2011,2011,16.4
18,Cote d'Ivoire,Age,4,15-24,... if she burns the food,1,01/01/2011,2011,17.7
368,Cote d'Ivoire,Age,4,15-24,... for at least one specific reason,2,01/01/2011,2011,49
368,Cote d'Ivoire,Age,4,25-34,... for at least one specific reason,2,01/01/2011,2011,42.8
368,Cote d'Ivoire,Age,4,35-49,... for at least one specific reason,2,01/01/2011,2011,32.2
88,Cote d'Ivoire,Age,4,15-24,... if she argues with him,3,01/01/2011,2011,30.6
88,Cote d'Ivoire,Age,4,25-34,... if she argues with him,3,01/01/2011,2011,25
88,Cote d'Ivoire,Age,4,35-49,... if she argues with him,3,01/01/2011,2011,20.3
158,Cote d'Ivoire,Age,4,15-24,... if she goes out without telling him,5,01/01/2011,2011,24.6
158,Cote d'Ivoire,Age,4,25-34,... if she goes out without telling him,5,01/01/2011,2011,22
158,Cote d'Ivoire,Age,4,35-49,... if she goes out without telling him,5,01/01/2011,2011,18.7
228,Cote d'Ivoire,Age,4,15-24,... if she neglects the children,4,01/01/2011,2011,33.5
228,Cote d'Ivoire,Age,4,25-34,... if she neglects the children,4,01/01/2011,2011,30.9
228,Cote d'Ivoire,Age,4,35-49,... if she neglects the children,4,01/01/2011,2011,20.6
298,Cote d'Ivoire,Age,4,15-24,... if she refuses to have sex with him,6,01/01/2011,2011,14.1
298,Cote d'Ivoire,Age,4,25-34,... if she refuses to have sex with him,6,01/01/2011,2011,11.4
298,Cote d'Ivoire,Age,4,35-49,... if she refuses to have sex with him,6,01/01/2011,2011,9.1
368,Cote d'Ivoire,Education,5,Higher,... for at least one specific reason,2,01/01/2011,2011,19.1
368,Cote d'Ivoire,Education,5,No education,... for at least one specific reason,2,01/01/2011,2011,44.7
368,Cote d'Ivoire,Education,5,Primary,... for at least one specific reason,2,01/01/2011,2011,45.9
368,Cote d'Ivoire,Education,5,Secondary,... for at least one specific reason,2,01/01/2011,2011,40.5
88,Cote d'Ivoire,Education,5,Higher,... if she argues with him,3,01/01/2011,2011,10.8
88,Cote d'Ivoire,Education,5,No education,... if she argues with him,3,01/01/2011,2011,30.4
88,Cote d'Ivoire,Education,5,Primary,... if she argues with him,3,01/01/2011,2011,29.2
88,Cote d'Ivoire,Education,5,Secondary,... if she argues with him,3,01/01/2011,2011,20.9
158,Cote d'Ivoire,Education,5,Higher,... if she goes out without telling him,5,01/01/2011,2011,5.5
158,Cote d'Ivoire,Education,5,No education,... if she goes out without telling him,5,01/01/2011,2011,28
158,Cote d'Ivoire,Education,5,Primary,... if she goes out without telling him,5,01/01/2011,2011,24.3
158,Cote d'Ivoire,Education,5,Secondary,... if she goes out without telling him,5,01/01/2011,2011,17.2
228,Cote d'Ivoire,Education,5,Higher,... if she neglects the children,4,01/01/2011,2011,10.9
228,Cote d'Ivoire,Education,5,No education,... if she neglects the children,4,01/01/2011,2011,30.2
228,Cote d'Ivoire,Education,5,Primary,... if she neglects the children,4,01/01/2011,2011,31.5
228,Cote d'Ivoire,Education,5,Secondary,... if she neglects the children,4,01/01/2011,2011,28.6
298,Cote d'Ivoire,Education,5,Higher,... if she refuses to have sex with him,6,01/01/2011,2011,1.3
298,Cote d'Ivoire,Education,5,No education,... if she refuses to have sex with him,6,01/01/2011,2011,15.9
298,Cote d'Ivoire,Education,5,Primary,... if she refuses to have sex with him,6,01/01/2011,2011,14.4
298,Cote d'Ivoire,Education,5,Secondary,... if she refuses to have sex with him,6,01/01/2011,2011,7.4
368,Cote d'Ivoire,Employment,3,Employed for cash,... for at least one specific reason,2,01/01/2011,2011,40.7
368,Cote d'Ivoire,Employment,3,Employed for kind,... for at least one specific reason,2,01/01/2011,2011,45.5
368,Cote d'Ivoire,Employment,3,Unemployed,... for at least one specific reason,2,01/01/2011,2011,44.4
88,Cote d'Ivoire,Employment,3,Employed for cash,... if she argues with him,3,01/01/2011,2011,25.2
88,Cote d'Ivoire,Employment,3,Employed for kind,... if she argues with him,3,01/01/2011,2011,30.6
88,Cote d'Ivoire,Employment,3,Unemployed,... if she argues with him,3,01/01/2011,2011,23.2
158,Cote d'Ivoire,Employment,3,Employed for cash,... if she goes out without telling him,5,01/01/2011,2011,21.6
158,Cote d'Ivoire,Employment,3,Employed for kind,... if she goes out without telling him,5,01/01/2011,2011,26.5
158,Cote d'Ivoire,Employment,3,Unemployed,... if she goes out without telling him,5,01/01/2011,2011,19.5
228,Cote d'Ivoire,Employment,3,Employed for cash,... if she neglects the children,4,01/01/2011,2011,27.3
228,Cote d'Ivoire,Employment,3,Employed for kind,... if she neglects the children,4,01/01/2011,2011,33.9
228,Cote d'Ivoire,Employment,3,Unemployed,... if she neglects the children,4,01/01/2011,2011,30.5
298,Cote d'Ivoire,Employment,3,Employed for cash,... if she refuses to have sex with him,6,01/01/2011,2011,11.1
298,Cote d'Ivoire,Employment,3,Employed for kind,... if she refuses to have sex with him,6,01/01/2011,2011,17
298,Cote d'Ivoire,Employment,3,Unemployed,... if she refuses to have sex with him,6,01/01/2011,2011,9.5
368,Cote d'Ivoire,Marital status,1,Married or living together,... for at least one specific reason,2,01/01/2011,2011,37.4
368,Cote d'Ivoire,Marital status,1,Never married,... for at least one specific reason,2,01/01/2011,2011,46.6
368,Cote d'Ivoire,Marital status,1,"Widowed, divorced, separated",... for at least one specific reason,2,01/01/2011,2011,43.2
88,Cote d'Ivoire,Marital status,1,Married or living together,... if she argues with him,3,01/01/2011,2011,23.6
88,Cote d'Ivoire,Marital status,1,Never married,... if she argues with him,3,01/01/2011,2011,28.6
88,Cote d'Ivoire,Marital status,1,"Widowed, divorced, separated",... if she argues with him,3,01/01/2011,2011,18.7
158,Cote d'Ivoire,Marital status,1,Married or living together,... if she goes out without telling him,5,01/01/2011,2011,21.8
158,Cote d'Ivoire,Marital status,1,Never married,... if she goes out without telling him,5,01/01/2011,2011,22.6
158,Cote d'Ivoire,Marital status,1,"Widowed, divorced, separated",... if she goes out without telling him,5,01/01/2011,2011,17.6
228,Cote d'Ivoire,Marital status,1,Married or living together,... if she neglects the children,4,01/01/2011,2011,25.7
228,Cote d'Ivoire,Marital status,1,Never married,... if she neglects the children,4,01/01/2011,2011,31.6
228,Cote d'Ivoire,Marital status,1,"Widowed, divorced, separated",... if she neglects the children,4,01/01/2011,2011,32.1
298,Cote d'Ivoire,Marital status,1,Married or living together,... if she refuses to have sex with him,6,01/01/2011,2011,11.1
298,Cote d'Ivoire,Marital status,1,Never married,... if she refuses to have sex with him,6,01/01/2011,2011,12.6
298,Cote d'Ivoire,Marital status,1,"Widowed, divorced, separated",... if she refuses to have sex with him,6,01/01/2011,2011,9.6
368,Cote d'Ivoire,Residence,5,Rural,... for at least one specific reason,2,01/01/2011,2011,43.7
368,Cote d'Ivoire,Residence,5,Urban,... for at least one specific reason,2,01/01/2011,2011,40.3
88,Cote d'Ivoire,Residence,5,Rural,... if she argues with him,3,01/01/2011,2011,28.1
88,Cote d'Ivoire,Residence,5,Urban,... if she argues with him,3,01/01/2011,2011,23.4
158,Cote d'Ivoire,Residence,5,Rural,... if she goes out without telling him,5,01/01/2011,2011,25.3
158,Cote d'Ivoire,Residence,5,Urban,... if she goes out without telling him,5,01/01/2011,2011,18.9
228,Cote d'Ivoire,Residence,5,Rural,... if she neglects the children,4,01/01/2011,2011,29.5
228,Cote d'Ivoire,Residence,5,Urban,... if she neglects the children,4,01/01/2011,2011,28
298,Cote d'Ivoire,Residence,5,Rural,... if she refuses to have sex with him,6,01/01/2011,2011,14.7
298,Cote d'Ivoire,Residence,5,Urban,... if she refuses to have sex with him,6,01/01/2011,2011,9
19,Dominican Republic,Employment,3,Employed for cash,... if she burns the food,1,01/01/2013,2013,
19,Dominican Republic,Employment,3,Employed for kind,... if she burns the food,1,01/01/2013,2013,
19,Dominican Republic,Education,5,Higher,... if she burns the food,1,01/01/2013,2013,0
19,Dominican Republic,Age,4,35-49,... if she burns the food,1,01/01/2013,2013,0.5
19,Dominican Republic,Education,5,Secondary,... if she burns the food,1,01/01/2013,2013,0.6
19,Dominican Republic,Marital status,1,Married or living together,... if she burns the food,1,01/01/2013,2013,0.6
19,Dominican Republic,Age,4,25-34,... if she burns the food,1,01/01/2013,2013,0.7
19,Dominican Republic,Residence,5,Urban,... if she burns the food,1,01/01/2013,2013,0.8
19,Dominican Republic,Employment,3,Unemployed,... if she burns the food,1,01/01/2013,2013,0.9
19,Dominican Republic,Marital status,1,"Widowed, divorced, separated",... if she burns the food,1,01/01/2013,2013,1.1
19,Dominican Republic,Marital status,1,Never married,... if she burns the food,1,01/01/2013,2013,1.2
19,Dominican Republic,Residence,5,Rural,... if she burns the food,1,01/01/2013,2013,1.2
19,Dominican Republic,Age,4,15-24,... if she burns the food,1,01/01/2013,2013,1.4
19,Dominican Republic,Education,5,Primary,... if she burns the food,1,01/01/2013,2013,1.5
19,Dominican Republic,Education,5,No education,... if she burns the food,1,01/01/2013,2013,3.1
369,Dominican Republic,Age,4,15-24,... for at least one specific reason,2,01/01/2013,2013,6.2
369,Dominican Republic,Age,4,25-34,... for at least one specific reason,2,01/01/2013,2013,3.6
369,Dominican Republic,Age,4,35-49,... for at least one specific reason,2,01/01/2013,2013,2.2
89,Dominican Republic,Age,4,15-24,... if she argues with him,3,01/01/2013,2013,1.5
89,Dominican Republic,Age,4,25-34,... if she argues with him,3,01/01/2013,2013,1
89,Dominican Republic,Age,4,35-49,... if she argues with him,3,01/01/2013,2013,0.6
159,Dominican Republic,Age,4,15-24,... if she goes out without telling him,5,01/01/2013,2013,3.4
159,Dominican Republic,Age,4,25-34,... if she goes out without telling him,5,01/01/2013,2013,1.9
159,Dominican Republic,Age,4,35-49,... if she goes out without telling him,5,01/01/2013,2013,1.1
229,Dominican Republic,Age,4,15-24,... if she neglects the children,4,01/01/2013,2013,3.6
229,Dominican Republic,Age,4,25-34,... if she neglects the children,4,01/01/2013,2013,2.1
229,Dominican Republic,Age,4,35-49,... if she neglects the children,4,01/01/2013,2013,1
299,Dominican Republic,Age,4,15-24,... if she refuses to have sex with him,6,01/01/2013,2013,0.8
299,Dominican Republic,Age,4,25-34,... if she refuses to have sex with him,6,01/01/2013,2013,0.9
299,Dominican Republic,Age,4,35-49,... if she refuses to have sex with him,6,01/01/2013,2013,0.2
369,Dominican Republic,Education,5,Higher,... for at least one specific reason,2,01/01/2013,2013,0.9
369,Dominican Republic,Education,5,No education,... for at least one specific reason,2,01/01/2013,2013,10.4
369,Dominican Republic,Education,5,Primary,... for at least one specific reason,2,01/01/2013,2013,6.6
369,Dominican Republic,Education,5,Secondary,... for at least one specific reason,2,01/01/2013,2013,2.7
89,Dominican Republic,Education,5,Higher,... if she argues with him,3,01/01/2013,2013,0.1
89,Dominican Republic,Education,5,No education,... if she argues with him,3,01/01/2013,2013,3
89,Dominican Republic,Education,5,Primary,... if she argues with him,3,01/01/2013,2013,1.7
89,Dominican Republic,Education,5,Secondary,... if she argues with him,3,01/01/2013,2013,0.7
159,Dominican Republic,Education,5,Higher,... if she goes out without telling him,5,01/01/2013,2013,0.2
159,Dominican Republic,Education,5,No education,... if she goes out without telling him,5,01/01/2013,2013,5
159,Dominican Republic,Education,5,Primary,... if she goes out without telling him,5,01/01/2013,2013,3.9
159,Dominican Republic,Education,5,Secondary,... if she goes out without telling him,5,01/01/2013,2013,1.1
229,Dominican Republic,Education,5,Higher,... if she neglects the children,4,01/01/2013,2013,0.3
229,Dominican Republic,Education,5,No education,... if she neglects the children,4,01/01/2013,2013,6
229,Dominican Republic,Education,5,Primary,... if she neglects the children,4,01/01/2013,2013,3.9
229,Dominican Republic,Education,5,Secondary,... if she neglects the children,4,01/01/2013,2013,1.4
299,Dominican Republic,Education,5,Higher,... if she refuses to have sex with him,6,01/01/2013,2013,0.3
299,Dominican Republic,Education,5,No education,... if she refuses to have sex with him,6,01/01/2013,2013,0.9
299,Dominican Republic,Education,5,Primary,... if she refuses to have sex with him,6,01/01/2013,2013,0.9
299,Dominican Republic,Education,5,Secondary,... if she refuses to have sex with him,6,01/01/2013,2013,0.5
369,Dominican Republic,Employment,3,Employed for cash,... for at least one specific reason,2,01/01/2013,2013,
369,Dominican Republic,Employment,3,Employed for kind,... for at least one specific reason,2,01/01/2013,2013,
369,Dominican Republic,Employment,3,Unemployed,... for at least one specific reason,2,01/01/2013,2013,4.2
89,Dominican Republic,Employment,3,Employed for cash,... if she argues with him,3,01/01/2013,2013,
89,Dominican Republic,Employment,3,Employed for kind,... if she argues with him,3,01/01/2013,2013,
89,Dominican Republic,Employment,3,Unemployed,... if she argues with him,3,01/01/2013,2013,1.1
159,Dominican Republic,Employment,3,Employed for cash,... if she goes out without telling him,5,01/01/2013,2013,
159,Dominican Republic,Employment,3,Employed for kind,... if she goes out without telling him,5,01/01/2013,2013,
159,Dominican Republic,Employment,3,Unemployed,... if she goes out without telling him,5,01/01/2013,2013,2.2
229,Dominican Republic,Employment,3,Employed for cash,... if she neglects the children,4,01/01/2013,2013,
229,Dominican Republic,Employment,3,Employed for kind,... if she neglects the children,4,01/01/2013,2013,
229,Dominican Republic,Employment,3,Unemployed,... if she neglects the children,4,01/01/2013,2013,2.3
299,Dominican Republic,Employment,3,Employed for cash,... if she refuses to have sex with him,6,01/01/2013,2013,
299,Dominican Republic,Employment,3,Employed for kind,... if she refuses to have sex with him,6,01/01/2013,2013,
299,Dominican Republic,Employment,3,Unemployed,... if she refuses to have sex with him,6,01/01/2013,2013,0.6
369,Dominican Republic,Marital status,1,Married or living together,... for at least one specific reason,2,01/01/2013,2013,2.7
369,Dominican Republic,Marital status,1,Never married,... for at least one specific reason,2,01/01/2013,2013,5.8
369,Dominican Republic,Marital status,1,"Widowed, divorced, separated",... for at least one specific reason,2,01/01/2013,2013,4.4
89,Dominican Republic,Marital status,1,Married or living together,... if she argues with him,3,01/01/2013,2013,0.6
89,Dominican Republic,Marital status,1,Never married,... if she argues with him,3,01/01/2013,2013,1.6
89,Dominican Republic,Marital status,1,"Widowed, divorced, separated",... if she argues with him,3,01/01/2013,2013,1.1
159,Dominican Republic,Marital status,1,Married or living together,... if she goes out without telling him,5,01/01/2013,2013,1.3
159,Dominican Republic,Marital status,1,Never married,... if she goes out without telling him,5,01/01/2013,2013,3.3
159,Dominican Republic,Marital status,1,"Widowed, divorced, separated",... if she goes out without telling him,5,01/01/2013,2013,2
229,Dominican Republic,Marital status,1,Married or living together,... if she neglects the children,4,01/01/2013,2013,1.6
229,Dominican Republic,Marital status,1,Never married,... if she neglects the children,4,01/01/2013,2013,3.3
229,Dominican Republic,Marital status,1,"Widowed, divorced, separated",... if she neglects the children,4,01/01/2013,2013,2.1
299,Dominican Republic,Marital status,1,Married or living together,... if she refuses to have sex with him,6,01/01/2013,2013,0.4
299,Dominican Republic,Marital status,1,Never married,... if she refuses to have sex with him,6,01/01/2013,2013,0.9
299,Dominican Republic,Marital status,1,"Widowed, divorced, separated",... if she refuses to have sex with him,6,01/01/2013,2013,0.6
369,Dominican Republic,Residence,5,Rural,... for at least one specific reason,2,01/01/2013,2013,4.6
369,Dominican Republic,Residence,5,Urban,... for at least one specific reason,2,01/01/2013,2013,4
89,Dominican Republic,Residence,5,Rural,... if she argues with him,3,01/01/2013,2013,1.2
89,Dominican Republic,Residence,5,Urban,... if she argues with him,3,01/01/2013,2013,1
159,Dominican Republic,Residence,5,Rural,... if she goes out without telling him,5,01/01/2013,2013,2.3
159,Dominican Republic,Residence,5,Urban,... if she goes out without telling him,5,01/01/2013,2013,2.2
229,Dominican Republic,Residence,5,Rural,... if she neglects the children,4,01/01/2013,2013,2.8
229,Dominican Republic,Residence,5,Urban,... if she neglects the children,4,01/01/2013,2013,2.1
299,Dominican Republic,Residence,5,Rural,... if she refuses to have sex with him,6,01/01/2013,2013,0.9
299,Dominican Republic,Residence,5,Urban,... if she refuses to have sex with him,6,01/01/2013,2013,0.5
20,Egypt,Age,4,15-24,... if she burns the food,1,01/01/2014,2014,
20,Egypt,Age,4,25-34,... if she burns the food,1,01/01/2014,2014,
20,Egypt,Age,4,35-49,... if she burns the food,1,01/01/2014,2014,
20,Egypt,Education,5,Higher,... if she burns the food,1,01/01/2014,2014,
